User Input,Chatbot Response,Timestamp
hello,"I'm fine, thank you",2024-12-10 16:24:20
relationship advice,"Communication, trust, and mutual respect are essential for a healthy and fulfilling relationship.",2024-12-10 16:24:40
rela,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 16:24:43
tell me about cooking,"For beginners, start with simple recipes, use fresh ingredients, and don't be afraid to try new techniques.",2024-12-10 16:24:58
recommend me a song,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-10 16:25:19
movies,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2024-12-10 16:25:31
hello,Nothing much,2024-12-10 16:26:17
hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-10 16:26:23
hi,Nothing much,2024-12-10 16:26:26
hi,Hi there,2024-12-10 16:26:30
